cord_uid,title,abstract,authors,journal,publish_time,source_x,doi,pmcid,url,publication_year,publication_month,title_length,title_word_count,has_abstract,abstract_length,abstract_word_count,has_journal
cord-000043,Analysis of pneumonia and diagnosis and immunity in clinical settings,This study examines pneumonia with 444 word abstract...,"Author43_1, Author43_2",JAMA,2021-10-28,ArXiv,10.1000/sample.43,PMC1000043,,2021.0,10.0,69,10,True,55.0,8.0,True
cord-000044,Analysis of treatment and coronavirus in clinical settings,This study examines treatment with 173 word abstract...,"Author44_1, Author44_2",Virology,2020-12-28,ArXiv,10.1000/sample.44,PMC1000044,https://example.com/paper_44,2020.0,12.0,58,8,True,55.0,8.0,True
cord-000045,Analysis of respiratory and antiviral in clinical settings,This study examines respiratory with 157 word abstract...,,Science,2019-12-27,PMC,10.1000/sample.45,PMC1000045,https://example.com/paper_45,2019.0,12.0,58,8,True,57.0,8.0,True
cord-000046,Analysis of SARS-CoV-2 and antiviral and transmission in clinical settings,This study examines SARS-CoV-2 with 114 word abstract...,"Author46_1, Author46_2",,2020-10-14,medRxiv,10.1000/sample.46,PMC1000046,https://example.com/paper_46,2020.0,10.0,74,10,True,56.0,8.0,False
cord-000047,Analysis of clinical and transmission in clinical settings,This study examines clinical with 418 word abstract...,"Author47_1, Author47_2",PLoS ONE,2020-04-02,ArXiv,10.1000/sample.47,PMC1000047,https://example.com/paper_47,2020.0,4.0,58,8,True,54.0,8.0,True
cord-000048,Analysis of vaccination and antibody in clinical settings,This study examines vaccination with 324 word abstract...,"Author48_1, Author48_2",,2021-01-11,Medline,10.1000/sample.48,,https://example.com/paper_48,2021.0,1.0,57,8,True,57.0,8.0,False
cord-000049,Analysis of antibody and COVID-19 and immunity and vaccination in clinical settings,This study examines antibody with 487 word abstract...,"Author49_1, Author49_2",Cell,,medRxiv,10.1000/sample.49,,,,,83,12,True,54.0,8.0,True
cord-000050,Analysis of respiratory and therapeutic and COVID-19 and outbreak in clinical settings,This study examines respiratory with 301 word abstract...,"Author50_1, Author50_2",,,PMC,10.1000/sample.50,,https://example.com/paper_50,,,86,12,True,57.0,8.0,False
cord-000051,Analysis of COVID-19 and public health and epidemiology in clinical settings,This study examines COVID-19 with 230 word abstract...,"Author51_1, Author51_2",Cell,2021-08-08,medRxiv,10.1000/sample.51,,https://example.com/paper_51,2021.0,8.0,76,11,True,54.0,8.0,True
cord-000052,Analysis of vaccination and symptoms and respiratory in clinical settings,,"Author52_1, Author52_2",Clinical Infectious Diseases,2020-11-20,bioRxiv,10.1000/sample.52,PMC1000052,https://example.com/paper_52,2020.0,11.0,73,10,False,,,True
cord-000053,Analysis of antiviral and SARS-CoV-2 and outbreak and coronavirus in clinical settings,This study examines antiviral with 229 word abstract...,"Author53_1, Author53_2",Clinical Infectious Diseases,2021-05-13,bioRxiv,10.1000/sample.53,PMC1000053,https://example.com/paper_53,2021.0,5.0,86,12,True,55.0,8.0,True
cord-000054,Analysis of COVID-19 and coronavirus in clinical settings,This study examines COVID-19 with 107 word abstract...,Author54_1,Clinical Infectious Diseases,2020-10-02,ArXiv,10.1000/sample.54,,https://example.com/paper_54,2020.0,10.0,57,8,True,54.0,8.0,True
cord-000055,Analysis of SARS-CoV-2 and antiviral and outbreak in clinical settings,This study examines SARS-CoV-2 with 319 word abstract...,"Author55_1, Author55_2",Nature,2020-04-23,ArXiv,10.1000/sample.55,PMC1000055,https://example.com/paper_55,2020.0,4.0,70,10,True,56.0,8.0,True
cord-000056,Analysis of antibody and respiratory and outbreak in clinical settings,This study examines antibody with 415 word abstract...,Author56_1,Nature,2020-05-11,WHO,,PMC1000056,https://example.com/paper_56,2020.0,5.0,70,10,True,54.0,8.0,True
cord-000057,Analysis of COVID-19 and antibody in clinical settings,This study examines COVID-19 with 463 word abstract...,"Author57_1, Author57_2",Journal of Virology,,ArXiv,10.1000/sample.57,,https://example.com/paper_57,,,54,8,True,54.0,8.0,True
cord-000058,Analysis of antiviral and transmission in clinical settings,This study examines antiviral with 362 word abstract...,"Author58_1, Author58_2",Journal of Medical Virology,2019-12-21,PMC,10.1000/sample.58,,https://example.com/paper_58,2019.0,12.0,59,8,True,55.0,8.0,True
cord-000059,Analysis of pandemic and vaccination and treatment in clinical settings,This study examines pandemic with 159 word abstract...,Author59_1,,2021-06-22,PMC,10.1000/sample.59,,https://example.com/paper_59,2021.0,6.0,71,10,True,54.0,8.0,False
cord-000060,Analysis of COVID-19 and pandemic in clinical settings,This study examines COVID-19 with 340 word abstract...,,Emerging Infectious Diseases,2020-05-28,Medline,10.1000/sample.60,PMC1000060,https://example.com/paper_60,2020.0,5.0,54,8,True,54.0,8.0,True
cord-000061,Analysis of public health and symptoms in clinical settings,This study examines public health with 229 word abstract...,"Author61_1, Author61_2",Cell,2021-03-14,WHO,10.1000/sample.61,PMC1000061,,2021.0,3.0,59,9,True,59.0,9.0,True
cord-000062,Analysis of clinical and transmission and SARS-CoV-2 in clinical settings,This study examines clinical with 330 word abstract...,"Author62_1, Author62_2",JAMA,2021-11-07,ArXiv,,PMC1000062,https://example.com/paper_62,2021.0,11.0,73,10,True,54.0,8.0,True
cord-000063,Analysis of transmission and antiviral in clinical settings,This study examines transmission with 257 word abstract...,"Author63_1, Author63_2",Cell,2020-09-05,medRxiv,10.1000/sample.63,PMC1000063,,2020.0,9.0,59,8,True,58.0,8.0,True
cord-000064,Analysis of lockdown and therapeutic and diagnosis in clinical settings,This study examines lockdown with 178 word abstract...,"Author64_1, Author64_2",Virology,2020-07-24,WHO,10.1000/sample.64,,https://example.com/paper_64,2020.0,7.0,71,10,True,54.0,8.0,True
cord-000065,Analysis of pandemic and treatment and therapeutic in clinical settings,This study examines pandemic with 179 word abstract...,Author65_1,BMJ,2019-12-11,ArXiv,10.1000/sample.65,PMC1000065,https://example.com/paper_65,2019.0,12.0,71,10,True,54.0,8.0,True
cord-000067,Analysis of antibody and outbreak and public health and clinical in clinical settings,This study examines antibody with 196 word abstract...,"Author67_1, Author67_2",PLoS ONE,2020-11-03,bioRxiv,10.1000/sample.67,PMC1000067,https://example.com/paper_67,2020.0,11.0,85,13,True,54.0,8.0,True
cord-000068,Analysis of public health and SARS-CoV-2 and treatment and pandemic in clinical settings,This study examines public health with 465 word abstract...,"Author68_1, Author68_2",BMJ,2021-06-22,bioRxiv,10.1000/sample.68,,https://example.com/paper_68,2021.0,6.0,88,13,True,59.0,9.0,True
cord-000069,Analysis of vaccination and immunity and therapeutic and antiviral in clinical settings,This study examines vaccination with 365 word abstract...,"Author69_1, Author69_2",Science,2020-02-07,ArXiv,10.1000/sample.69,PMC1000069,https://example.com/paper_69,2020.0,2.0,87,12,True,57.0,8.0,True
cord-000070,Analysis of treatment and clinical and SARS-CoV-2 in clinical settings,This study examines treatment with 248 word abstract...,"Author70_1, Author70_2",BMJ,2020-09-29,bioRxiv,10.1000/sample.70,PMC1000070,https://example.com/paper_70,2020.0,9.0,70,10,True,55.0,8.0,True
cord-000071,Analysis of transmission and SARS-CoV-2 and pneumonia and antibody in clinical settings,This study examines transmission with 235 word abstract...,Author71_1,Cell,2021-08-01,bioRxiv,10.1000/sample.71,PMC1000071,https://example.com/paper_71,2021.0,8.0,87,12,True,58.0,8.0,True
cord-000072,Analysis of public health and diagnosis in clinical settings,This study examines public health with 411 word abstract...,"Author72_1, Author72_2",Clinical Infectious Diseases,2021-03-07,Medline,10.1000/sample.72,PMC1000072,https://example.com/paper_72,2021.0,3.0,60,9,True,59.0,9.0,True
cord-000073,Analysis of immunity and COVID-19 and transmission in clinical settings,This study examines immunity with 159 word abstract...,"Author73_1, Author73_2",,2021-02-07,ArXiv,10.1000/sample.73,PMC1000073,https://example.com/paper_73,2021.0,2.0,71,10,True,54.0,8.0,False
cord-000074,Analysis of epidemiology and immunity and SARS-CoV-2 and vaccination in clinical settings,This study examines epidemiology with 174 word abstract...,"Author74_1, Author74_2",Nature Medicine,2021-12-16,Medline,10.1000/sample.74,,,2021.0,12.0,89,12,True,58.0,8.0,True
cord-000075,Analysis of respiratory and immunity and diagnosis and treatment in clinical settings,This study examines respiratory with 228 word abstract...,"Author75_1, Author75_2",JAMA,2020-12-02,medRxiv,10.1000/sample.75,PMC1000075,https://example.com/paper_75,2020.0,12.0,85,12,True,57.0,8.0,True
cord-000076,Analysis of vaccination and lockdown and COVID-19 in clinical settings,This study examines vaccination with 106 word abstract...,"Author76_1, Author76_2",,2020-12-29,medRxiv,10.1000/sample.76,PMC1000076,https://example.com/paper_76,2020.0,12.0,70,10,True,57.0,8.0,False
cord-000077,Analysis of treatment and respiratory and diagnosis in clinical settings,This study examines treatment with 388 word abstract...,"Author77_1, Author77_2",Virology,2021-06-14,PMC,10.1000/sample.77,PMC1000077,https://example.com/paper_77,2021.0,6.0,72,10,True,55.0,8.0,True
cord-000078,Analysis of transmission and COVID-19 and vaccination in clinical settings,This study examines transmission with 131 word abstract...,"Author78_1, Author78_2",Lancet,2021-01-05,WHO,,,https://example.com/paper_78,2021.0,1.0,74,10,True,58.0,8.0,True
cord-000079,Analysis of vaccination and lockdown and transmission in clinical settings,This study examines vaccination with 367 word abstract...,"Author79_1, Author79_2",Lancet,2020-06-16,PMC,10.1000/sample.79,PMC1000079,https://example.com/paper_79,2020.0,6.0,74,10,True,57.0,8.0,True
cord-000080,Analysis of lockdown and immunity and SARS-CoV-2 and pneumonia in clinical settings,This study examines lockdown with 374 word abstract...,"Author80_1, Author80_2",BMJ,2021-09-20,ArXiv,10.1000/sample.80,PMC1000080,https://example.com/paper_80,2021.0,9.0,83,12,True,54.0,8.0,True
cord-000081,Analysis of diagnosis and therapeutic and outbreak and antiviral in clinical settings,This study examines diagnosis with 463 word abstract...,"Author81_1, Author81_2",JAMA,2021-09-04,medRxiv,10.1000/sample.81,,,2021.0,9.0,85,12,True,55.0,8.0,True
cord-000082,Analysis of epidemiology and respiratory in clinical settings,This study examines epidemiology with 165 word abstract...,"Author82_1, Author82_2",JAMA,2019-12-01,medRxiv,10.1000/sample.82,,,2019.0,12.0,61,8,True,58.0,8.0,True
cord-000083,Analysis of antiviral and pneumonia and clinical and vaccination in clinical settings,This study examines antiviral with 241 word abstract...,"Author83_1, Author83_2",Emerging Infectious Diseases,2021-05-23,bioRxiv,10.1000/sample.83,,https://example.com/paper_83,2021.0,5.0,85,12,True,55.0,8.0,True
cord-000084,Analysis of outbreak and SARS-CoV-2 and treatment in clinical settings,,"Author84_1, Author84_2",Journal of Virology,2020-03-23,PMC,10.1000/sample.84,PMC1000084,,2020.0,3.0,70,10,False,,,True
cord-000085,Analysis of immunity and treatment and COVID-19 in clinical settings,This study examines immunity with 492 word abstract...,Author85_1,,2021-04-20,ArXiv,10.1000/sample.85,,https://example.com/paper_85,2021.0,4.0,68,10,True,54.0,8.0,False
cord-000086,Analysis of transmission and public health and COVID-19 in clinical settings,This study examines transmission with 361 word abstract...,"Author86_1, Author86_2",Virology,2020-05-26,bioRxiv,10.1000/sample.86,,https://example.com/paper_86,2020.0,5.0,76,11,True,58.0,8.0,True
cord-000087,Analysis of symptoms and coronavirus and therapeutic and transmission in clinical settings,This study examines symptoms with 481 word abstract...,"Author87_1, Author87_2",Nature,2020-05-21,bioRxiv,10.1000/sample.87,PMC1000087,,2020.0,5.0,90,12,True,54.0,8.0,True
cord-000088,Analysis of lockdown and treatment and transmission and immunity in clinical settings,This study examines lockdown with 314 word abstract...,"Author88_1, Author88_2",Science,2020-11-28,PMC,10.1000/sample.88,PMC1000088,,2020.0,11.0,85,12,True,54.0,8.0,True
cord-000089,Analysis of vaccination and public health and antiviral and pneumonia in clinical settings,This study examines vaccination with 192 word abstract...,"Author89_1, Author89_2",Nature,2021-08-31,medRxiv,10.1000/sample.89,PMC1000089,https://example.com/paper_89,2021.0,8.0,90,13,True,57.0,8.0,True
cord-000090,Analysis of immunity and COVID-19 and outbreak in clinical settings,This study examines immunity with 459 word abstract...,"Author90_1, Author90_2",JAMA,2019-12-21,PMC,10.1000/sample.90,PMC1000090,,2019.0,12.0,67,10,True,54.0,8.0,True
cord-000092,Analysis of epidemiology and public health and clinical in clinical settings,This study examines epidemiology with 225 word abstract...,"Author92_1, Author92_2",JAMA,2020-02-20,ArXiv,10.1000/sample.92,PMC1000092,,2020.0,2.0,76,11,True,58.0,8.0,True
cord-000094,Analysis of coronavirus and outbreak in clinical settings,This study examines coronavirus with 253 word abstract...,"Author94_1, Author94_2",JAMA,2020-03-31,Medline,10.1000/sample.94,PMC1000094,https://example.com/paper_94,2020.0,3.0,57,8,True,57.0,8.0,True
cord-000095,Analysis of SARS-CoV-2 and clinical in clinical settings,This study examines SARS-CoV-2 with 424 word abstract...,"Author95_1, Author95_2",BMJ,,WHO,10.1000/sample.95,PMC1000095,https://example.com/paper_95,,,56,8,True,56.0,8.0,True
cord-000096,Analysis of outbreak and clinical and treatment in clinical settings,This study examines outbreak with 331 word abstract...,"Author96_1, Author96_2",Journal of Medical Virology,2020-07-22,bioRxiv,10.1000/sample.96,,https://example.com/paper_96,2020.0,7.0,68,10,True,54.0,8.0,True
cord-000097,Analysis of diagnosis and public health and vaccination in clinical settings,This study examines diagnosis with 112 word abstract...,"Author97_1, Author97_2",BMJ,2019-12-04,WHO,10.1000/sample.97,,,2019.0,12.0,76,11,True,55.0,8.0,True
cord-000098,Analysis of COVID-19 and transmission in clinical settings,This study examines COVID-19 with 359 word abstract...,"Author98_1, Author98_2",Virology,2021-06-07,WHO,10.1000/sample.98,PMC1000098,https://example.com/paper_98,2021.0,6.0,58,8,True,54.0,8.0,True
cord-000099,Analysis of antibody and immunity and pandemic in clinical settings,This study examines antibody with 182 word abstract...,"Author99_1, Author99_2",Nature,2020-08-28,Medline,10.1000/sample.99,PMC1000099,https://example.com/paper_99,2020.0,8.0,67,10,True,54.0,8.0,True
cord-000101,Analysis of pneumonia and vaccination in clinical settings,This study examines pneumonia with 127 word abstract...,"Author101_1, Author101_2",New England Journal of Medicine,2022-01-16,bioRxiv,10.1000/sample.101,PMC1000101,https://example.com/paper_101,2022.0,1.0,58,8,True,55.0,8.0,True
cord-000102,Analysis of pneumonia and lockdown and epidemiology in clinical settings,This study examines pneumonia with 477 word abstract...,"Author102_1, Author102_2",BMJ,2020-03-14,PMC,10.1000/sample.102,PMC1000102,,2020.0,3.0,72,10,True,55.0,8.0,True
cord-000103,Analysis of public health and immunity and clinical and epidemiology in clinical settings,This study examines public health with 406 word abstract...,"Author103_1, Author103_2",BMJ,2019-12-27,ArXiv,10.1000/sample.103,PMC1000103,,2019.0,12.0,89,13,True,59.0,9.0,True
cord-000104,Analysis of immunity and antibody and symptoms and respiratory in clinical settings,This study examines immunity with 493 word abstract...,"Author104_1, Author104_2",New England Journal of Medicine,2020-07-23,medRxiv,10.1000/sample.104,PMC1000104,https://example.com/paper_104,2020.0,7.0,83,12,True,54.0,8.0,True
cord-000105,Analysis of symptoms and antiviral in clinical settings,This study examines symptoms with 376 word abstract...,"Author105_1, Author105_2",JAMA,2021-07-07,WHO,10.1000/sample.105,PMC1000105,,2021.0,7.0,55,8,True,54.0,8.0,True
cord-000106,Analysis of lockdown and vaccination in clinical settings,This study examines lockdown with 118 word abstract...,"Author106_1, Author106_2",Science Translational Medicine,,medRxiv,10.1000/sample.106,PMC1000106,https://example.com/paper_106,,,57,8,True,54.0,8.0,True
cord-000108,Analysis of immunity and therapeutic in clinical settings,This study examines immunity with 212 word abstract...,"Author108_1, Author108_2",Science,2020-12-29,ArXiv,10.1000/sample.108,PMC1000108,https://example.com/paper_108,2020.0,12.0,57,8,True,54.0,8.0,True
cord-000109,Analysis of public health and antiviral and therapeutic and diagnosis in clinical settings,This study examines public health with 381 word abstract...,"Author109_1, Author109_2",Journal of Medical Virology,2020-12-30,Medline,10.1000/sample.109,PMC1000109,https://example.com/paper_109,2020.0,12.0,90,13,True,59.0,9.0,True
cord-000110,Analysis of SARS-CoV-2 and pneumonia in clinical settings,This study examines SARS-CoV-2 with 123 word abstract...,"Author110_1, Author110_2",Nature Medicine,2020-04-25,ArXiv,10.1000/sample.110,PMC1000110,,2020.0,4.0,57,8,True,56.0,8.0,True
cord-000111,Analysis of antiviral and COVID-19 and outbreak in clinical settings,This study examines antiviral with 268 word abstract...,"Author111_1, Author111_2",Emerging Infectious Diseases,2021-09-06,PMC,10.1000/sample.111,,,2021.0,9.0,68,10,True,55.0,8.0,True
cord-000112,Analysis of antibody and vaccination and diagnosis in clinical settings,This study examines antibody with 201 word abstract...,"Author112_1, Author112_2",Lancet,2021-01-16,Medline,10.1000/sample.112,PMC1000112,https://example.com/paper_112,2021.0,1.0,71,10,True,54.0,8.0,True
